trial_id,loss,KLD_mach,KLD_stoch,loss_mp,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.LR,config.mach_latent_dim,config.stoch_latent_dim,config.beta_stoch,config.beta_mach,config.alpha_prof,config.alpha_mach,config.physics,config.gamma_stored_energy,config.encoder_end_dense_size
2a038_00000,0.25786691904067993,152.73655700683594,2.055955648422241,0.6795589327812195,6.570443391799927,False,,,21.0,c510b5acf2d54b73bedd36edb4412e99,2022-04-06_03-21-27,1649204487.0,141.96260380744934,105404.0,adam-der-physiker,192.168.0.9,141.96260380744934,0.0,21.0,"0_encoder_end_dense_size=624,mach_latent_dim=14",0.003,14.0,3.0,0.001,100.0,1.0,1.0,False,0.0,624.0
2a038_00001,0.29619577527046204,35.27605438232422,0.025815829634666443,0.6328964233398438,6.083912372589111,True,,,50.0,9a741fb72979436ba28225b540dcb776,2022-04-06_03-24-20,1649204660.0,312.80761528015137,105400.0,adam-der-physiker,192.168.0.9,312.80761528015137,0.0,50.0,"1_encoder_end_dense_size=192,mach_latent_dim=12",0.003,12.0,3.0,0.001,100.0,1.0,1.0,False,0.0,192.0
2a038_00002,0.07385653257369995,inf,2.057171106338501,0.5241549015045166,6.657961845397949,False,,,39.0,dc8b285e94474b22a794ce2b94ffe107,2022-04-06_03-25-54,1649204754.0,260.237646818161,105407.0,adam-der-physiker,192.168.0.9,260.237646818161,0.0,39.0,"2_encoder_end_dense_size=576,mach_latent_dim=14",0.003,14.0,3.0,0.001,100.0,1.0,1.0,False,0.0,576.0
2a038_00003,0.7369677424430847,38.49000930786133,2.6531015464570373e-06,0.4995076656341553,6.066470146179199,True,,,50.0,0a05d6fee2254dc9b913dee03121d8cf,2022-04-06_03-29-37,1649204977.0,314.93610739707947,105402.0,adam-der-physiker,192.168.0.9,314.93610739707947,0.0,50.0,"3_encoder_end_dense_size=288,mach_latent_dim=14",0.003,14.0,3.0,0.001,100.0,1.0,1.0,False,0.0,288.0
2a038_00004,0.21711862087249756,85.34911346435547,0.2512471675872803,0.6456393003463745,7.451234579086304,False,,,15.0,40ce0bcdb4b844baa7f477f37f0cb6ae,2022-04-06_03-27-46,1649204866.0,107.33489918708801,105403.0,adam-der-physiker,192.168.0.9,107.33489918708801,0.0,15.0,"4_encoder_end_dense_size=992,mach_latent_dim=12",0.003,12.0,3.0,0.001,100.0,1.0,1.0,False,0.0,992.0
2a038_00005,0.07071761041879654,42.31290817260742,1.2474536895751953,0.5120124816894531,5.931459665298462,True,,,50.0,97a7d49edf25412e97f4ba04bfd47fb7,2022-04-06_03-32-58,1649205178.0,303.3565378189087,105406.0,adam-der-physiker,192.168.0.9,303.3565378189087,0.0,50.0,"5_encoder_end_dense_size=224,mach_latent_dim=14",0.003,14.0,3.0,0.001,100.0,1.0,1.0,False,0.0,224.0
2a038_00006,0.21418973803520203,27.028697967529297,0.12306883931159973,0.6336613893508911,6.106701612472534,True,,,40.0,4ee8d986ffe548a39beadf4ab9f36824,2022-04-06_03-33-31,1649205211.0,232.55640196800232,105401.0,adam-der-physiker,192.168.0.9,232.55640196800232,0.0,40.0,"6_encoder_end_dense_size=96,mach_latent_dim=8",0.003,8.0,3.0,0.001,100.0,1.0,1.0,False,0.0,96.0
2a038_00007,0.2186354398727417,92.89337158203125,0.3739962577819824,0.6523702144622803,6.111907482147217,False,,,23.0,f5aa81d0f3604d60bac116d828e1c84a,2022-04-06_03-35-23,1649205323.0,143.30077385902405,105405.0,adam-der-physiker,192.168.0.9,143.30077385902405,0.0,23.0,"7_encoder_end_dense_size=304,mach_latent_dim=13",0.003,13.0,3.0,0.001,100.0,1.0,1.0,False,0.0,304.0
2a038_00008,0.2136811912059784,54.03767013549805,0.008201083168387413,0.627129077911377,6.824361562728882,True,,,40.0,1afdb9c2c89f456e958f7bf391788622,2022-04-06_03-38-07,1649205487.0,272.594446182251,131285.0,adam-der-physiker,192.168.0.9,272.594446182251,0.0,40.0,"8_encoder_end_dense_size=832,mach_latent_dim=12",0.003,12.0,3.0,0.001,100.0,1.0,1.0,False,0.0,832.0
2a038_00009,0.09038704633712769,67.72547912597656,1.0885934829711914,0.5362833142280579,6.441082239151001,False,,,19.0,4b437ab666d14474a02679c1efdc572a,2022-04-06_03-37-31,1649205451.0,124.78767776489258,134524.0,adam-der-physiker,192.168.0.9,124.78767776489258,0.0,19.0,"9_encoder_end_dense_size=560,mach_latent_dim=11",0.003,11.0,3.0,0.001,100.0,1.0,1.0,False,0.0,560.0
2a038_00010,0.06465330719947815,38.64533233642578,3.01816463470459,0.5215206146240234,6.1277525424957275,True,,,50.0,cf98e8eb18ca486c9c7b982fb4aede02,2022-04-06_03-42-37,1649205757.0,300.6702091693878,138266.0,adam-der-physiker,192.168.0.9,300.6702091693878,0.0,50.0,"10_encoder_end_dense_size=208,mach_latent_dim=7",0.003,7.0,3.0,0.001,100.0,1.0,1.0,False,0.0,208.0
2a038_00011,0.297309547662735,51.98454666137695,0.005443507339805365,0.4965013563632965,6.441206693649292,True,,,50.0,b437e3e201124197a49a062e5e85c1fd,2022-04-06_03-43-33,1649205813.0,322.91696333885193,139234.0,adam-der-physiker,192.168.0.9,322.91696333885193,0.0,50.0,"11_encoder_end_dense_size=496,mach_latent_dim=13",0.003,13.0,3.0,0.001,100.0,1.0,1.0,False,0.0,496.0
2a038_00012,0.736905574798584,24.620630264282227,1.3722652511205524e-05,0.6493296027183533,6.056833505630493,True,,,40.0,a804491e959047339dfa964d9c606f67,2022-04-06_03-46-47,1649206007.0,248.0915606021881,147383.0,adam-der-physiker,192.168.0.9,248.0915606021881,0.0,40.0,"12_encoder_end_dense_size=400,mach_latent_dim=8",0.003,8.0,3.0,0.001,100.0,1.0,1.0,False,0.0,400.0
2a038_00013,0.30673399567604065,40.39448165893555,1.495378851890564,0.6604053378105164,6.440450668334961,False,,,13.0,d07e35a32d2a4986bc741638c833a7ed,2022-04-06_03-45-01,1649205901.0,86.46524453163147,149028.0,adam-der-physiker,192.168.0.9,86.46524453163147,0.0,13.0,"13_encoder_end_dense_size=704,mach_latent_dim=6",0.003,6.0,3.0,0.001,100.0,1.0,1.0,False,0.0,704.0
