trial_id,loss,KLD_mach,KLD_stoch,loss_mp,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.LR,config.mach_latent_dim,config.beta_stoch,config.beta_mach,config.alpha_prof,config.alpha_mach
61aa9_00000,0.07992129027843475,17.805797576904297,5.854252338409424,0.5377001166343689,4.965729236602783,True,,,50,4bc77947cdb24da1b5a3f9a6dfa0df60,2022-02-13_13-06-47,1644750407,279.1970579624176,103757,g6201.mahti.csc.fi,10.141.5.206,279.1970579624176,0,50,"0_beta_stoch=0.0011,mach_latent_dim=5",0.003,5,0.0011,100,1.0,1.0
61aa9_00001,0.21495695412158966,45.67170333862305,0.013338376767933369,0.6363213062286377,5.142188787460327,True,,,40,0bdba97c0f9f47baa86c0e8de57bff50,2022-02-13_13-05-59,1644750359,229.01234912872314,103744,g6201.mahti.csc.fi,10.141.5.206,229.01234912872314,0,40,"1_beta_stoch=0.0008,mach_latent_dim=14",0.003,14,0.0008,100,1.0,1.0
61aa9_00002,0.6505432724952698,3.4698495864868164,2.5065173758775927e-05,0.6698303818702698,5.21433424949646,True,,,40,6d63cf9f99b1403790caeb191f03dbd3,2022-02-13_13-05-59,1644750359,228.8295075893402,103737,g6201.mahti.csc.fi,10.141.5.206,228.8295075893402,0,40,"2_beta_stoch=0.25135,mach_latent_dim=11",0.003,11,0.25135,100,1.0,1.0
61aa9_00003,0.7369781732559204,10.505309104919434,1.308260834775865e-05,0.5169656872749329,5.261695384979248,True,,,40,f62940c496734679b977d65221e1b220,2022-02-13_13-05-59,1644750359,228.5996642112732,103759,g6201.mahti.csc.fi,10.141.5.206,228.5996642112732,0,40,"3_beta_stoch=0.04605,mach_latent_dim=9",0.003,9,0.04605,100,1.0,1.0
61aa9_00004,0.10527849942445755,28.102066040039062,1.4757972955703735,0.5145126581192017,5.045231819152832,True,,,50,51bc30a5eb3f418999442ad2918f24e3,2022-02-13_13-06-46,1644750406,276.2322208881378,103740,g6201.mahti.csc.fi,10.141.5.206,276.2322208881378,0,50,"4_beta_stoch=0.00155,mach_latent_dim=8",0.003,8,0.0015500000000000002,100,1.0,1.0
61aa9_00005,0.07188880443572998,10.608071327209473,6.67980857542716e-05,0.5215383768081665,4.8448591232299805,True,,,50,c6e3dfdf112641be8db2eabd55161cc4,2022-02-13_13-06-47,1644750407,276.7909278869629,103688,g6201.mahti.csc.fi,10.141.5.206,276.7909278869629,0,50,"5_beta_stoch=0.1378,mach_latent_dim=8",0.003,8,0.1378,100,1.0,1.0
61aa9_00006,0.0812307670712471,16.088640213012695,1.1350789070129395,0.5277209877967834,4.421578884124756,True,,,50,2c5701e4b0284be8a8a0c283cf7029db,2022-02-13_13-06-49,1644750409,278.61843514442444,103698,g6201.mahti.csc.fi,10.141.5.206,278.61843514442444,0,50,"6_beta_stoch=0.00485,mach_latent_dim=5",0.003,5,0.00485,100,1.0,1.0
61aa9_00007,0.08485020697116852,19.931640625,0.0017049676971510053,0.5094125270843506,4.576850414276123,True,,,50,5ec04786b63e452b9cccd164f9c74f8a,2022-02-13_13-06-49,1644750409,278.5411994457245,103718,g6201.mahti.csc.fi,10.141.5.206,278.5411994457245,0,50,"7_beta_stoch=0.0078,mach_latent_dim=8",0.003,8,0.0078000000000000005,100,1.0,1.0
61aa9_00008,0.7370331883430481,3.5382416248321533,2.5989545520133106e-06,0.6725686192512512,5.1216511726379395,True,,,40,73e601e8f2d8468db136d70b3ecd26f8,2022-02-13_13-09-33,1644750573,212.59160447120667,103710,g6201.mahti.csc.fi,10.141.5.206,212.59160447120667,0,40,"8_beta_stoch=0.13965,mach_latent_dim=6",0.003,6,0.13965,100,1.0,1.0
61aa9_00009,0.2216404229402542,7.301172733306885,0.00011758158507291228,0.6558254361152649,5.085525274276733,True,,,40,4ccab3713dd74287821e1a54baf95c2a,2022-02-13_13-09-35,1644750575,213.7033076286316,103720,g6201.mahti.csc.fi,10.141.5.206,213.7033076286316,0,40,"9_beta_stoch=0.1101,mach_latent_dim=5",0.003,5,0.1101,100,1.0,1.0
