trial_id,experiment_id,date,timestamp,pid,hostname,node_ip,config.mach_latent_dim,config.beta_stoch,config.beta_mach,config.alpha_prof,config.alpha_mach
56a66_00000,a67b9712e05d4ac29c1b91a8c3b867d5,2022-01-27_12-39-02,1643279942.0,202319.0,dx6-mat-32,128.214.72.230,10.0,0.0001,1.0,0.0,0.0
56a66_00001,8da0b4666e3c478f8333828d22a71d65,2022-01-27_12-39-04,1643279944.0,202320.0,dx6-mat-32,128.214.72.230,10.0,0.0001,1.0,0.0,1.0
56a66_00002,6816c90a3d0043d7899d77e8d175c63a,2022-01-27_12-39-04,1643279944.0,202318.0,dx6-mat-32,128.214.72.230,10.0,0.0001,1.0,0.0,10.0
56a66_00003,bfd441be00cf423cb6005f12d084e5b2,2022-01-27_12-39-04,1643279944.0,202317.0,dx6-mat-32,128.214.72.230,10.0,0.0001,1.0,0.0,100.0
56a66_00004,,,,,,,,,,,
56a66_00005,,,,,,,,,,,
56a66_00006,,,,,,,,,,,
56a66_00007,,,,,,,,,,,
56a66_00008,,,,,,,,,,,
56a66_00009,,,,,,,,,,,
56a66_00010,,,,,,,,,,,
56a66_00011,,,,,,,,,,,
