 Trial name                      , status     , loc                 ,   stoch_latent_dim ,   mach_latent_dim ,   alpha_prof ,   alpha_mach ,   beta_mach_unsup ,   beta_stoch ,     loss ,   loss_mp 
 train_model_on_tune_8a726_00033 , TERMINATED , 10.140.0.117:133949 ,3,11,500,500,0.005,1,0.12606,0.696712
 train_model_on_tune_8a726_00078 , TERMINATED , 10.140.0.117:129776 ,4,9,500,500,0.005,1,0.131268,0.698575
 train_model_on_tune_8a726_00025 , TERMINATED , 10.140.0.117:133946 ,3,10,500,500,0.1,1,0.132132,0.694512
 train_model_on_tune_8a726_00172 , TERMINATED , 10.140.0.117:20238  ,6,6,500,500,0.0001,1,0.133978,0.692503
 train_model_on_tune_8a726_00123 , TERMINATED , 10.140.0.117:69573  ,5,7,500,500,0.005,1,0.135791,0.68806
 train_model_on_tune_8a726_00129 , TERMINATED , 10.140.0.117:79674  ,5,8,500,500,0.0005,1,0.137446,0.699326
 train_model_on_tune_8a726_00130 , TERMINATED , 10.140.0.117:81434  ,5,9,500,500,0.1,1,0.139539,0.692889
 train_model_on_tune_8a726_00210 , TERMINATED , 10.140.0.117:107032 ,6,14,500,500,0.1,1,0.140552,0.698424
 train_model_on_tune_8a726_00214 , TERMINATED , 10.140.0.117:110106 ,6,14,500,500,0.0005,1,0.141279,0.70617
 train_model_on_tune_8a726_00170 , TERMINATED , 10.140.0.117:17465  ,6,6,500,500,0.1,1,0.141521,0.684921
 train_model_on_tune_8a726_00120 , TERMINATED , 10.140.0.117:58432  ,5,7,500,500,0.1,1,0.141623,0.690964
 train_model_on_tune_8a726_00125 , TERMINATED , 10.140.0.117:73127  ,5,8,500,500,0.1,1,0.142774,0.693065
 train_model_on_tune_8a726_00001 , TERMINATED , 10.140.0.117:134006 ,3,5,500,500,0.001,1,0.144142,0.692997
 train_model_on_tune_8a726_00128 , TERMINATED , 10.140.0.117:79309  ,5,8,500,500,0.005,1,0.144354,0.703643
 train_model_on_tune_8a726_00126 , TERMINATED , 10.140.0.117:73262  ,5,8,500,500,0.001,1,0.14502,0.701056
 train_model_on_tune_8a726_00004 , TERMINATED , 10.140.0.117:134004 ,3,5,500,500,0.0005,1,0.146695,0.691249
 train_model_on_tune_8a726_00075 , TERMINATED , 10.140.0.117:124148 ,4,9,500,500,0.1,1,0.14749,0.698684
 train_model_on_tune_8a726_00121 , TERMINATED , 10.140.0.117:59392  ,5,7,500,500,0.001,1,0.147532,0.697241
 train_model_on_tune_8a726_00050 , TERMINATED , 10.140.0.117:75901  ,3,15,500,500,0.1,1,0.148439,0.704412
 train_model_on_tune_8a726_00028 , TERMINATED , 10.140.0.117:133940 ,3,10,500,500,0.005,1,0.148626,0.70455
 train_model_on_tune_8a726_00124 , TERMINATED , 10.140.0.117:70115  ,5,7,500,500,0.0005,1,0.148822,0.704677
 train_model_on_tune_8a726_00109 , TERMINATED , 10.140.0.117:38338  ,4,15,500,500,0.0005,1,0.149824,0.70911
 train_model_on_tune_8a726_00053 , ERROR      , 10.140.0.117:78890  ,3,15,500,500,0.005,1,0.149919,0.702166
 train_model_on_tune_8a726_00030 , TERMINATED , 10.140.0.117:133941 ,3,11,500,500,0.1,1,0.150504,0.687855
 train_model_on_tune_8a726_00122 , TERMINATED , 10.140.0.117:62928  ,5,7,500,500,0.0001,1,0.151422,0.688716
 train_model_on_tune_8a726_00002 , TERMINATED , 10.140.0.117:133996 ,3,5,500,500,0.0001,1,0.15244,0.703994
 train_model_on_tune_8a726_00213 , TERMINATED , 10.140.0.117:108709 ,6,14,500,500,0.005,1,0.152505,0.703868
 train_model_on_tune_8a726_00211 , TERMINATED , 10.140.0.117:108142 ,6,14,500,500,0.001,1,0.154092,0.688338
 train_model_on_tune_8a726_00051 , TERMINATED , 10.140.0.117:76012  ,3,15,500,500,0.001,1,0.155545,0.696158
 train_model_on_tune_8a726_00212 , TERMINATED , 10.140.0.117:108321 ,6,14,500,500,0.0001,1,0.155698,0.704923
 train_model_on_tune_8a726_00163 , TERMINATED , 10.140.0.117:154867 ,5,15,500,500,0.005,1,0.156493,0.696897
 train_model_on_tune_8a726_00164 , TERMINATED , 10.140.0.117:1998   ,5,15,500,500,0.0005,1,0.156682,0.690369
 train_model_on_tune_8a726_00160 , TERMINATED , 10.140.0.117:148445 ,5,15,500,500,0.1,1,0.157301,0.688367
 train_model_on_tune_8a726_00178 , TERMINATED , 10.140.0.117:33834  ,6,7,500,500,0.005,1,0.158062,0.712499
 train_model_on_tune_8a726_00161 , TERMINATED , 10.140.0.117:149417 ,5,15,500,500,0.001,1,0.158951,0.715102
 train_model_on_tune_8a726_00054 , TERMINATED , 10.140.0.117:79711  ,3,15,500,500,0.0005,1,0.159137,0.685939
 train_model_on_tune_8a726_00176 , TERMINATED , 10.140.0.117:29036  ,6,7,500,500,0.001,1,0.160486,0.691056
 train_model_on_tune_8a726_00177 , TERMINATED , 10.140.0.117:32406  ,6,7,500,500,0.0001,1,0.161252,0.703967
 train_model_on_tune_8a726_00115 , TERMINATED , 10.140.0.117:49261  ,5,6,500,500,0.1,1,0.161385,0.697908
 train_model_on_tune_8a726_00162 , TERMINATED , 10.140.0.117:152598 ,5,15,500,500,0.0001,1,0.161965,0.70922
 train_model_on_tune_8a726_00166 , TERMINATED , 10.140.0.117:6330   ,6,5,500,500,0.001,1,0.161974,0.698598
 train_model_on_tune_8a726_00008 , TERMINATED , 10.140.0.117:133995 ,3,6,500,500,0.005,1,0.162774,0.7012
 train_model_on_tune_8a726_00143 , TERMINATED , 10.140.0.117:113328 ,5,11,500,500,0.005,1,0.163133,0.701956
 train_model_on_tune_8a726_00062 , TERMINATED , 10.140.0.117:96884  ,4,6,500,500,0.0001,1,0.165743,0.702627
 train_model_on_tune_8a726_00179 , TERMINATED , 10.140.0.117:35995  ,6,7,500,500,0.0005,1,0.169522,0.700579
 train_model_on_tune_8a726_00192 , TERMINATED , 10.140.0.117:67954  ,6,10,500,500,0.0001,1,0.183919,0.706744
 train_model_on_tune_8a726_00190 , TERMINATED , 10.140.0.117:60881  ,6,10,500,500,0.1,1,0.185781,0.696107
 train_model_on_tune_8a726_00193 , TERMINATED , 10.140.0.117:68722  ,6,10,500,500,0.005,1,0.195375,0.710122
 train_model_on_tune_8a726_00014 , ERROR      , 10.140.0.117:133982 ,3,7,500,500,0.0005,1,0.219679,0.716737
