,shot,dda,FLAG:HRTSdatavalidated
0,73342.0,T001/pbohm,1.0
1,73344.0,T001/pbohm,1.0
2,73346.0,T001/pbohm,1.0
3,73346.0,T002/pbohm,1.0
4,73347.0,T001/pbohm,1.0
5,73351.0,T001/pbohm,1.0
6,73355.0,T001/pbohm,1.0
7,73363.0,T001/pbohm,1.0
8,73522.0,T001/pbohm,0.0
9,73524.0,T001/pbohm,1.0
10,73854.0,T001/pbohm,3.0
11,73916.0,T001/pbohm,1.0
12,73916.0,T002/pbohm,1.0
13,73920.0,T001/pbohm,1.0
14,73920.0,T003/pbohm,1.0
15,73921.0,T001/pbohm,1.0
16,73921.0,T002/pbohm,1.0
17,73927.0,T001/pbohm,1.0
18,73928.0,T001/pbohm,1.0
19,73931.0,T001/pbohm,1.0
20,74167.0,T001/pbohm,1.0
21,74168.0,T001/pbohm,2.0
22,74170.0,T001/pbohm,1.0
23,74175.0,T001/pbohm,1.0
24,74176.0,T001/pbohm,1.0
25,74181.0,T001/pbohm,1.0
26,74182.0,T001/pbohm,1.0
27,74188.0,T001/pbohm,1.0
28,74189.0,T002/pbohm,1.0
29,74191.0,T001/pbohm,1.0
30,74196.0,T001/pbohm,1.0
31,74197.0,T001/pbohm,1.0
32,74198.0,T001/pbohm,1.0
33,74200.0,T001/pbohm,1.0
34,74302.0,T002/pbohm,1.0
35,74308.0,T001/pbohm,1.0
36,74309.0,T002/pbohm,1.0
37,74309.0,T004/pbohm,1.0
38,74312.0,T001/pbohm,1.0
39,74313.0,T002/pbohm,1.0
40,74314.0,T001/pbohm,1.0
41,74314.0,T001/pbohm,1.0
42,74315.0,T001/pbohm,1.0
43,74316.0,T001/pbohm,1.0
44,74319.0,T001/pbohm,1.0
45,74320.0,T002/pbohm,1.0
46,74320.0,T003/pbohm,1.0
47,74321.0,T001/pbohm,1.0
48,74321.0,T001/pbohm,1.0
49,74322.0,T001/pbohm,1.0
50,74323.0,T002/pbohm,2.0
51,74323.0,T003/pbohm,2.0
